Sr.,Stock Name,Symbol,% Chg,Price,Volume
763,Dabur India Limited,DABUR,0.08%,606.45,"879,215"
764,Shivalik Bimetal Controls Ltd,SBCL,0.08%,598.1,"109,185"
765,Fino Payments Bank Ltd,FINOPB,0.08%,310.85,"164,032"
766,Tilaknagar Industries Limited,TI,0.08%,246.6,"533,930"
767,Dishman Carbogen Amcis Ltd,DCAL,0.08%,172.36,"467,475"
768,Mirae Asset Gold ETF,GOLDETF,0.08%,71.86,"513,517"
769,SIGNPOST,SIGNPOST,0.07%,278.65,"65,289"
770,Tamilnadu Petroproducts Limited,TNPETRO,0.07%,96.96,"285,839"
771,Ifci Limited,IFCI,0.07%,60.91,"11,856,340"
772,Kesoram Industries Limited,KESORAMIND,0.06%,212.36,"399,512"
773,Zomato Ltd,ZOMATO,0.06%,207.57,"29,681,228"
774,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,0.06%,103.11,"7,648,331"
775,Vascon Engineers Limited,VASCONEQ,0.06%,72.79,"1,400,571"
776,CreditAccess Grameen Ltd,CREDITACC,0.05%,1329.85,"250,406"
777,DSP S&P BSE Liquid Rate ETF,LIQUIDADD,0.05%,1018.7,"442,825"
778,Mirae Asset Nifty IT ETF,ITETF,0.05%,38.34,"156,753"
779,Mangalam Cement Limited,MANGLMCEM,0.04%,917.45,"246,310"
780,ICICI Securities Ltd,ISEC,0.04%,780.6,"255,083"
